pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
AUDCAD,SHORT,2024-06-12 00:00:00,2024-06-12 01:00:00,0.90769,0.9089,0.9089,0.90648,0.00158,-0.00121,-0.00141,SL,1
AUDCAD,SHORT,2024-06-25 12:00:00,2024-06-26 01:00:00,0.90737,0.91006,0.91006,0.90468,0.00352,-0.00269,-0.00289,SL,13
AUDCAD,LONG,2024-07-01 06:00:00,2024-07-01 08:00:00,0.91206,0.91343,0.91069,0.91343,0.00179,0.00137,0.00117,TP,2
AUDCAD,LONG,2024-09-02 08:00:00,2024-09-02 11:00:00,0.915,0.91371,0.91371,0.91629,0.00169,-0.00129,-0.00149,SL,3
AUDCAD,LONG,2024-09-24 04:00:00,2024-09-24 06:00:00,0.92683,0.92204,0.92204,0.93162,0.00627,-0.00479,-0.00499,SL,2
AUDCAD,SHORT,2024-10-17 21:00:00,2024-10-17 22:00:00,0.92247,0.92362,0.92362,0.92132,0.0015,-0.00115,-0.00135,SL,1
AUDCAD,SHORT,2024-11-25 05:00:00,2024-11-25 23:00:00,0.90794,0.91122,0.91122,0.90466,0.00429,-0.00328,-0.00348,SL,18
AUDCAD,SHORT,2024-12-11 07:00:00,2025-01-10 13:00:00,0.89918,0.88823,0.91013,0.88823,0.01433,0.01095,0.01075,TP,530
AUDCAD,SHORT,2025-02-03 21:00:00,2025-02-19 15:00:00,0.89584,0.90363,0.90363,0.88805,0.0102,-0.00779,-0.00799,SL,280
AUDCAD,SHORT,2025-03-31 08:00:00,2025-04-02 06:00:00,0.89635,0.90175,0.90175,0.89095,0.00707,-0.0054,-0.0056,SL,46
AUDCAD,SHORT,2025-05-27 07:00:00,2025-06-09 08:00:00,0.88706,0.8932,0.8932,0.88092,0.00804,-0.00614,-0.00634,SL,215
AUDCAD,SHORT,2025-08-01 17:00:00,2025-08-06 04:00:00,0.88874,0.89385,0.89385,0.88363,0.00669,-0.00511,-0.00531,SL,58
AUDCAD,SHORT,2025-10-10 12:00:00,2025-10-10 15:00:00,0.91624,0.91216,0.92032,0.91216,0.00534,0.00408,0.00388,TP,3
AUDCAD,SHORT,2025-11-06 08:00:00,2025-11-06 09:00:00,0.91661,0.9179,0.9179,0.91532,0.00169,-0.00129,-0.00149,SL,1
AUDCAD,SHORT,2025-11-21 10:00:00,2025-11-24 08:00:00,0.9058,0.91142,0.91142,0.90018,0.00736,-0.00562,-0.00582,SL,21
AUDCAD,SHORT,2025-12-11 02:00:00,2025-12-12 16:00:00,0.91752,0.91419,0.92085,0.91419,0.00436,0.00333,0.00313,TP,38
AUDCAD,SHORT,2026-01-19 00:00:00,2026-01-19 05:00:00,0.92772,0.93012,0.93012,0.92532,0.00314,-0.0024,-0.0026,SL,5
AUDCAD,SHORT,2026-03-05 17:00:00,2026-03-09 00:00:00,0.95601,0.94774,0.96428,0.94774,0.01082,0.00827,0.00807,TP,30
AUDCAD,LONG,2026-03-17 12:00:00,2026-03-19 13:00:00,0.97218,0.96035,0.96035,0.98401,0.01549,-0.01183,-0.01203,SL,49
AUDCAD,SHORT,2026-04-23 00:00:00,2026-04-23 01:00:00,0.97559,0.9783,0.9783,0.97288,0.00355,-0.00271,-0.00291,SL,1
AUDUSD,SHORT,2024-07-01 14:00:00,2024-07-02 03:00:00,0.66568,0.66357,0.6678,0.66357,0.00277,0.00211,0.00191,TP,13
AUDUSD,SHORT,2024-07-31 01:00:00,2024-08-01 14:00:00,0.65181,0.6558,0.6558,0.64781,0.00522,-0.00399,-0.00419,SL,37
AUDUSD,LONG,2024-08-16 15:00:00,2024-08-19 11:00:00,0.66441,0.66974,0.65907,0.66974,0.00698,0.00533,0.00513,TP,19
AUDUSD,SHORT,2024-09-06 15:00:00,2024-09-11 14:00:00,0.66876,0.66265,0.67486,0.66265,0.00799,0.00611,0.00591,TP,70
AUDUSD,LONG,2024-09-19 06:00:00,2024-09-24 16:00:00,0.68222,0.68856,0.67588,0.68856,0.00829,0.00634,0.00614,TP,81
AUDUSD,LONG,2024-11-07 12:00:00,2024-11-12 08:00:00,0.66472,0.65467,0.65467,0.67476,0.01315,-0.01005,-0.01025,SL,67
AUDUSD,LONG,2024-11-25 00:00:00,2024-11-25 23:00:00,0.65334,0.6488,0.6488,0.65788,0.00594,-0.00454,-0.00474,SL,23
AUDUSD,SHORT,2024-12-04 01:00:00,2024-12-04 03:00:00,0.64572,0.64194,0.64949,0.64194,0.00494,0.00377,0.00357,TP,2
AUDUSD,LONG,2025-01-17 15:00:00,2025-01-20 13:00:00,0.62205,0.62624,0.61785,0.62624,0.0055,0.0042,0.004,TP,21
AUDUSD,SHORT,2025-02-03 00:00:00,2025-02-03 01:00:00,0.62024,0.6156,0.62487,0.6156,0.00606,0.00463,0.00443,TP,1
AUDUSD,LONG,2025-04-17 18:00:00,2025-04-21 07:00:00,0.63937,0.64373,0.63501,0.64373,0.0057,0.00436,0.00416,TP,36
AUDUSD,LONG,2025-05-02 12:00:00,2025-05-09 02:00:00,0.64495,0.63801,0.63801,0.65189,0.00908,-0.00694,-0.00714,SL,109
AUDUSD,SHORT,2025-05-12 07:00:00,2025-05-12 08:00:00,0.64288,0.64072,0.64504,0.64072,0.00282,0.00216,0.00196,TP,1
AUDUSD,SHORT,2025-05-20 11:00:00,2025-05-20 12:00:00,0.64123,0.64,0.64247,0.64,0.00162,0.00123,0.00103,TP,1
AUDUSD,LONG,2025-05-20 23:00:00,2025-05-21 00:00:00,0.64292,0.64354,0.64229,0.64354,0.00082,0.00063,0.00043,TP,1
AUDUSD,SHORT,2025-05-30 00:00:00,2025-05-30 01:00:00,0.64425,0.64528,0.64528,0.64321,0.00135,-0.00103,-0.00123,SL,1
AUDUSD,LONG,2025-06-03 14:00:00,2025-06-04 02:00:00,0.64672,0.648,0.64543,0.648,0.00168,0.00128,0.00108,TP,12
AUDUSD,SHORT,2025-06-19 05:00:00,2025-06-23 02:00:00,0.64685,0.64204,0.65165,0.64204,0.00629,0.00481,0.00461,TP,44
AUDUSD,LONG,2025-06-30 15:00:00,2025-07-07 02:00:00,0.65656,0.65234,0.65234,0.66077,0.00551,-0.00421,-0.00441,SL,106
AUDUSD,LONG,2025-08-27 16:00:00,2025-08-28 16:00:00,0.65053,0.65362,0.64745,0.65362,0.00404,0.00308,0.00288,TP,24
AUDUSD,SHORT,2025-09-25 12:00:00,2025-09-25 17:00:00,0.65776,0.6538,0.66173,0.6538,0.00519,0.00396,0.00376,TP,5
AUDUSD,LONG,2025-10-07 03:00:00,2025-10-07 07:00:00,0.66265,0.65908,0.65908,0.66621,0.00467,-0.00356,-0.00376,SL,4
AUDUSD,SHORT,2025-10-09 06:00:00,2025-10-09 12:00:00,0.65841,0.66051,0.66051,0.65632,0.00274,-0.0021,-0.0023,SL,6
AUDUSD,LONG,2025-10-24 12:00:00,2025-10-24 14:00:00,0.65198,0.65013,0.65013,0.65382,0.00241,-0.00184,-0.00204,SL,2
AUDUSD,LONG,2025-12-09 15:00:00,2025-12-10 20:00:00,0.66507,0.66766,0.66248,0.66766,0.00339,0.00259,0.00239,TP,29
AUDUSD,LONG,2025-12-26 13:00:00,2025-12-29 09:00:00,0.672,0.67045,0.67045,0.67355,0.00203,-0.00155,-0.00175,SL,19
AUDUSD,SHORT,2026-01-05 13:00:00,2026-01-05 15:00:00,0.66676,0.6699,0.6699,0.66361,0.00412,-0.00314,-0.00334,SL,2
AUDUSD,SHORT,2026-01-13 14:00:00,2026-01-13 15:00:00,0.66997,0.66818,0.67176,0.66818,0.00234,0.00179,0.00159,TP,1
AUDUSD,SHORT,2026-02-18 18:00:00,2026-02-18 19:00:00,0.70552,0.7038,0.70723,0.7038,0.00225,0.00172,0.00152,TP,1
AUDUSD,SHORT,2026-03-05 16:00:00,2026-03-09 19:00:00,0.69915,0.70673,0.70673,0.69158,0.00991,-0.00758,-0.00778,SL,50
AUDUSD,SHORT,2026-03-17 03:00:00,2026-03-17 05:00:00,0.70606,0.70798,0.70798,0.70414,0.00252,-0.00192,-0.00212,SL,2
AUDUSD,LONG,2026-04-06 07:00:00,2026-04-06 08:00:00,0.69152,0.6925,0.69055,0.6925,0.00128,0.00098,0.00078,TP,1
AUDUSD,SHORT,2026-05-19 23:00:00,2026-05-20 00:00:00,0.71209,0.70958,0.7146,0.70958,0.00329,0.00251,0.00231,TP,1
AUDUSD,LONG,2026-05-29 13:00:00,2026-06-05 01:00:00,0.71818,0.71207,0.71207,0.7243,0.00801,-0.00612,-0.00632,SL,107
EURGBP,SHORT,2024-05-27 13:00:00,2024-05-31 08:00:00,0.84991,0.85242,0.85242,0.8474,0.00329,-0.00251,-0.00271,SL,91
EURGBP,SHORT,2024-06-07 12:00:00,2024-06-07 13:00:00,0.85085,0.85026,0.85144,0.85026,0.00077,0.00059,0.00039,TP,1
EURGBP,LONG,2024-06-19 23:00:00,2024-06-20 07:00:00,0.84497,0.84418,0.84418,0.84576,0.00103,-0.00079,-0.00099,SL,8
EURGBP,LONG,2024-07-25 12:00:00,2024-07-29 08:00:00,0.843,0.84597,0.84003,0.84597,0.00389,0.00297,0.00277,TP,43
EURGBP,SHORT,2024-08-15 16:00:00,2024-08-22 08:00:00,0.85361,0.84931,0.85791,0.84931,0.00563,0.0043,0.0041,TP,111
EURGBP,LONG,2024-09-06 15:00:00,2024-09-10 21:00:00,0.84435,0.84187,0.84187,0.84683,0.00324,-0.00248,-0.00268,SL,53
EURGBP,SHORT,2024-09-18 11:00:00,2024-09-20 06:00:00,0.84178,0.83901,0.84455,0.83901,0.00362,0.00277,0.00257,TP,43
EURGBP,SHORT,2024-10-14 14:00:00,2024-10-14 17:00:00,0.83602,0.835,0.83704,0.835,0.00133,0.00102,0.00082,TP,3
EURGBP,LONG,2024-10-28 22:00:00,2024-10-29 10:00:00,0.83392,0.83267,0.83267,0.83517,0.00163,-0.00125,-0.00145,SL,12
EURGBP,SHORT,2024-12-04 14:00:00,2024-12-11 07:00:00,0.82695,0.82367,0.83023,0.82367,0.00429,0.00328,0.00308,TP,112
EURGBP,LONG,2024-12-26 14:00:00,2024-12-27 16:00:00,0.83122,0.82835,0.82835,0.83408,0.00375,-0.00286,-0.00306,SL,26
EURGBP,LONG,2025-01-08 11:00:00,2025-01-08 12:00:00,0.83054,0.83224,0.82884,0.83224,0.00222,0.0017,0.0015,TP,1
EURGBP,SHORT,2025-01-30 22:00:00,2025-02-03 00:00:00,0.83592,0.83357,0.83827,0.83357,0.00308,0.00235,0.00215,TP,25
EURGBP,SHORT,2025-02-26 22:00:00,2025-03-04 20:00:00,0.82625,0.8295,0.8295,0.823,0.00426,-0.00325,-0.00345,SL,93
EURGBP,SHORT,2025-03-27 09:00:00,2025-03-28 15:00:00,0.8332,0.83642,0.83642,0.82998,0.00422,-0.00322,-0.00342,SL,30
EURGBP,LONG,2025-04-02 07:00:00,2025-04-02 09:00:00,0.83586,0.83539,0.83539,0.83633,0.00062,-0.00047,-0.00067,SL,2
EURGBP,SHORT,2025-04-17 10:00:00,2025-04-17 12:00:00,0.85828,0.85704,0.85952,0.85704,0.00162,0.00124,0.00104,TP,2
EURGBP,SHORT,2025-05-08 11:00:00,2025-05-09 18:00:00,0.84846,0.84558,0.85134,0.84558,0.00377,0.00288,0.00268,TP,31
EURGBP,LONG,2025-06-10 06:00:00,2025-06-11 13:00:00,0.845,0.84831,0.84169,0.84831,0.00433,0.00331,0.00311,TP,31
EURGBP,LONG,2025-08-05 14:00:00,2025-08-06 12:00:00,0.87025,0.87205,0.86845,0.87205,0.00235,0.0018,0.0016,TP,22
EURGBP,LONG,2025-09-02 05:00:00,2025-09-02 06:00:00,0.86476,0.86525,0.86427,0.86525,0.00064,0.00049,0.00029,TP,1
EURGBP,SHORT,2025-09-15 08:00:00,2025-09-16 09:00:00,0.86348,0.86574,0.86574,0.86122,0.00296,-0.00226,-0.00246,SL,24
EURGBP,LONG,2025-10-17 08:00:00,2025-10-17 20:00:00,0.87209,0.86774,0.86774,0.87644,0.0057,-0.00435,-0.00455,SL,12
EURGBP,LONG,2025-11-04 18:00:00,2025-11-10 17:00:00,0.88177,0.87729,0.87729,0.88625,0.00587,-0.00448,-0.00468,SL,94
EURGBP,SHORT,2025-11-21 08:00:00,2025-11-21 09:00:00,0.88112,0.88264,0.88264,0.8796,0.00199,-0.00152,-0.00172,SL,1
EURGBP,SHORT,2025-12-09 09:00:00,2025-12-09 15:00:00,0.87214,0.87449,0.87449,0.86979,0.00308,-0.00235,-0.00255,SL,6
EURGBP,LONG,2025-12-17 08:00:00,2025-12-18 12:00:00,0.87957,0.87555,0.87555,0.88359,0.00526,-0.00402,-0.00422,SL,28
EURGBP,SHORT,2026-01-28 15:00:00,2026-02-02 19:00:00,0.86701,0.86351,0.87051,0.86351,0.00458,0.0035,0.0033,TP,49
EURGBP,LONG,2026-02-17 14:00:00,2026-02-27 16:00:00,0.87414,0.87864,0.86964,0.87864,0.00589,0.0045,0.0043,TP,193
EURGBP,SHORT,2026-03-19 14:00:00,2026-03-20 13:00:00,0.86169,0.86453,0.86453,0.85885,0.00372,-0.00284,-0.00304,SL,23
EURGBP,LONG,2026-04-20 17:00:00,2026-04-20 18:00:00,0.8707,0.87032,0.87032,0.87108,0.0005,-0.00038,-0.00058,SL,1
EURGBP,SHORT,2026-05-20 12:00:00,2026-05-22 13:00:00,0.86532,0.86308,0.86756,0.86308,0.00293,0.00224,0.00204,TP,49
EURJPY,LONG,2024-05-19 23:00:00,2024-06-14 09:00:00,169.399,167.8137,167.8137,170.9843,2.075,-1.5853,-1.6053,SL,463
EURJPY,LONG,2024-06-21 14:00:00,2024-06-24 14:00:00,170.448,171.30978,169.58621,171.30978,1.12799,0.86178,0.84178,TP,23
EURJPY,SHORT,2024-07-17 07:00:00,2024-07-17 23:00:00,171.54201,170.51367,172.57035,170.51367,1.34599,1.02834,1.00834,TP,16
EURJPY,SHORT,2024-08-22 07:00:00,2024-08-22 08:00:00,161.601,162.17094,162.17094,161.03105,0.746,-0.56995,-0.58995,SL,1
EURJPY,SHORT,2024-08-23 17:00:00,2024-08-25 23:00:00,161.679,160.89208,162.46592,160.89208,1.03,0.78692,0.76692,TP,5
EURJPY,LONG,2024-09-25 08:00:00,2024-09-27 05:00:00,161.187,162.82731,159.54669,162.82731,2.147,1.64031,1.62031,TP,45
EURJPY,LONG,2024-10-10 04:00:00,2024-10-10 14:00:00,163.57001,162.29412,162.29412,164.8459,1.67001,-1.27589,-1.29589,SL,10
EURJPY,SHORT,2024-11-07 01:00:00,2024-11-07 03:00:00,165.52901,165.85675,165.85675,165.20126,0.42899,-0.32774,-0.34774,SL,2
EURJPY,LONG,2024-12-11 09:00:00,2024-12-13 11:00:00,160.062,161.14993,158.97406,161.14993,1.424,1.08793,1.06793,TP,50
EURJPY,SHORT,2025-01-16 01:00:00,2025-01-20 15:00:00,160.03,162.21504,162.21504,157.84496,2.86,-2.18504,-2.20504,SL,61
