method,be_trigger_ratio,be_buffer_pips,swing_lookback,swing_update_interval,PF,WR,N,MaxDD,avg_win,avg_loss
baseline,,,,,1.242,45.6,103,219.8,24.38,16.48
be,0.25,0.0,,,1.07,26.2,103,164.2,24.82,8.24
be,0.25,0.5,,,1.07,61.2,103,159.2,10.63,15.65
be,0.25,1.0,,,0.99,61.2,103,154.2,9.84,15.65
be,0.3,0.0,,,1.073,27.2,103,164.2,24.58,8.55
be,0.3,0.5,,,1.1,60.2,103,159.2,11.38,15.64
be,0.3,1.0,,,1.052,60.2,103,154.2,10.88,15.64
be,0.35,0.0,,,1.092,29.1,103,161.2,24.55,9.24
be,0.35,0.5,,,1.114,58.3,103,157.2,12.53,15.69
be,0.35,1.0,,,1.096,58.3,103,153.5,12.32,15.69
be,0.4,0.0,,,1.153,31.1,103,161.2,24.3,9.5
be,0.4,0.5,,,1.174,58.3,103,157.2,13.2,15.69
be,0.4,1.0,,,1.195,58.3,103,153.5,13.43,15.69
be,0.45,0.0,,,1.092,32.0,103,199.8,24.16,10.43
be,0.45,0.5,,,1.108,55.3,103,196.8,14.2,15.87
be,0.45,1.0,,,1.125,55.3,103,194.1,14.41,15.87
be,0.5,0.0,,,1.127,34.0,103,181.1,24.56,11.22
be,0.5,0.5,,,1.14,53.4,103,178.6,15.81,15.9
be,0.5,1.0,,,1.153,53.4,103,176.3,15.99,15.9
swing,,,5.0,1.0,0.264,8.7,103,230.3,8.93,3.24
swing,,,5.0,3.0,0.591,24.3,103,232.3,10.71,5.81
swing,,,5.0,5.0,0.775,30.1,103,182.2,12.38,6.88
swing,,,8.0,1.0,0.267,7.8,103,232.7,10.35,3.26
swing,,,8.0,3.0,0.584,20.4,103,224.9,13.04,5.71
swing,,,8.0,5.0,0.888,32.0,103,177.3,13.3,7.07
swing,,,10.0,1.0,0.233,5.8,103,247.0,12.18,3.24
swing,,,10.0,3.0,0.681,20.4,103,216.7,15.25,5.73
swing,,,10.0,5.0,0.816,28.2,103,194.2,14.71,7.07
swing,,,13.0,1.0,0.28,4.9,103,237.2,17.99,3.28
swing,,,13.0,3.0,0.686,18.4,103,232.6,17.6,5.8
swing,,,13.0,5.0,0.887,25.2,103,193.2,18.39,7.0
swing,,,20.0,1.0,0.257,4.9,103,249.6,16.89,3.35
swing,,,20.0,3.0,0.68,17.5,103,227.1,19.14,5.96
swing,,,20.0,5.0,0.921,25.2,103,182.7,19.69,7.22
be_swing,0.25,0.0,5.0,1.0,0.237,7.8,103,238.5,9.02,3.21
be_swing,0.25,0.0,5.0,3.0,0.553,22.3,103,253.2,10.72,5.57
be_swing,0.25,0.0,5.0,5.0,0.722,27.2,103,202.0,12.42,6.42
be_swing,0.25,0.0,8.0,1.0,0.263,6.8,103,230.5,11.46,3.18
be_swing,0.25,0.0,8.0,3.0,0.573,18.4,103,238.7,13.58,5.36
be_swing,0.25,0.0,8.0,5.0,0.863,29.1,103,188.5,13.66,6.5
be_swing,0.25,0.0,10.0,1.0,0.237,5.8,103,240.8,12.18,3.18
be_swing,0.25,0.0,10.0,3.0,0.686,19.4,103,224.3,15.35,5.39
be_swing,0.25,0.0,10.0,5.0,0.823,26.2,103,198.7,14.99,6.47
be_swing,0.25,0.0,13.0,1.0,0.289,4.9,103,226.6,17.99,3.17
be_swing,0.25,0.0,13.0,3.0,0.707,17.5,103,234.9,17.84,5.34
be_swing,0.25,0.0,13.0,5.0,0.867,22.3,103,210.6,19.01,6.31
be_swing,0.25,0.0,20.0,1.0,0.268,4.9,103,236.6,16.89,3.22
be_swing,0.25,0.0,20.0,3.0,0.681,15.5,103,238.6,19.49,5.26
be_swing,0.25,0.0,20.0,5.0,0.898,21.4,103,198.6,20.58,6.22
be_swing,0.25,0.5,5.0,1.0,0.238,8.7,103,238.0,8.07,3.24
be_swing,0.25,0.5,5.0,3.0,0.559,27.2,103,251.7,8.89,5.94
be_swing,0.25,0.5,5.0,5.0,0.729,34.0,103,201.0,10.04,7.08
be_swing,0.25,0.5,8.0,1.0,0.266,8.7,103,230.0,9.02,3.24
be_swing,0.25,0.5,8.0,3.0,0.581,25.2,103,237.2,10.06,5.85
be_swing,0.25,0.5,8.0,5.0,0.834,37.9,103,187.0,10.15,7.41
be_swing,0.25,0.5,10.0,1.0,0.241,7.8,103,240.3,9.26,3.24
be_swing,0.25,0.5,10.0,3.0,0.654,27.2,103,222.3,10.45,5.97
be_swing,0.25,0.5,10.0,5.0,0.796,35.9,103,197.2,10.58,7.45
be_swing,0.25,0.5,13.0,1.0,0.294,7.8,103,225.6,11.43,3.27
be_swing,0.25,0.5,13.0,3.0,0.678,27.2,103,232.4,10.99,6.05
be_swing,0.25,0.5,13.0,5.0,0.844,35.9,103,207.6,11.51,7.64
be_swing,0.25,0.5,20.0,1.0,0.273,7.8,103,235.6,10.75,3.32
be_swing,0.25,0.5,20.0,3.0,0.656,28.2,103,235.1,10.35,6.19
be_swing,0.25,0.5,20.0,5.0,0.878,36.9,103,195.6,11.64,7.75
be_swing,0.25,1.0,5.0,1.0,0.222,8.7,103,243.0,7.52,3.24
be_swing,0.25,1.0,5.0,3.0,0.472,27.2,103,270.9,7.51,5.94
be_swing,0.25,1.0,5.0,5.0,0.651,34.0,103,210.8,8.96,7.08
be_swing,0.25,1.0,8.0,1.0,0.202,8.7,103,248.0,6.84,3.24
be_swing,0.25,1.0,8.0,3.0,0.497,25.2,103,256.3,8.6,5.85
be_swing,0.25,1.0,8.0,5.0,0.702,37.9,103,185.4,8.54,7.41
