pair,year,PF,WR,n,net,maxDD,avg_win,avg_loss
USDJPY,2015,0.02,0.214,14,-4.07389,4.14389,0.028,0.37799
USDJPY,2016,1.177,0.444,9,0.40254,1.49904,0.668125,0.453993
USDJPY,2017,2.153,0.6,10,1.81832,1.09568,0.566,0.39442
USDJPY,2018,0.982,0.4,15,-0.04132,0.81096,0.379137,0.257349
USDJPY,2019,0.486,0.389,18,-1.61882,1.61882,0.218372,0.28613
USDJPY,2020,0.0,0.0,11,-2.28796,2.28796,0.0,0.207997
USDJPY,2021,0.292,0.286,21,-2.87432,3.50532,0.197833,0.270755
USDJPY,2022,0.617,0.429,7,-0.77164,1.39264,0.414333,0.503661
USDJPY,2023,1.876,0.526,19,4.62875,2.06361,0.991143,0.586964
USDJPY,2024,3.889,0.667,15,4.69763,0.939,0.632384,0.325243
USDJPY,2025,10.111,0.769,13,12.22088,0.61707,1.356216,0.447095
USDJPY,2026,1.485,0.571,7,0.62336,0.734,0.477,0.428214
EURUSD,2015,0.719,0.3,10,-0.00765,0.02725,0.006536,0.003893
EURUSD,2016,0.217,0.211,19,-0.03553,0.03664,0.002465,0.003026
EURUSD,2017,1.482,0.5,20,0.01195,0.00841,0.003675,0.002481
EURUSD,2018,1.184,0.353,17,0.00556,0.01729,0.005967,0.002749
EURUSD,2019,0.414,0.167,18,-0.01438,0.01717,0.003383,0.001635
EURUSD,2020,0.707,0.333,15,-0.00777,0.01187,0.003755,0.002654
EURUSD,2021,0.713,0.269,26,-0.01086,0.01936,0.003854,0.001991
EURUSD,2022,1.308,0.429,14,0.00802,0.01454,0.005677,0.003255
EURUSD,2023,0.73,0.364,22,-0.01124,0.01778,0.003803,0.002976
EURUSD,2024,0.937,0.294,17,-0.00138,0.01098,0.004097,0.001822
EURUSD,2025,2.142,0.429,14,0.01702,0.00863,0.005321,0.001863
EURUSD,2026,0.412,0.25,8,-0.01106,0.01468,0.00388,0.003137
GBPJPY,2015,0.318,0.182,11,-2.06404,2.55793,0.481,0.336226
GBPJPY,2016,0.892,0.4,10,-0.25082,1.79604,0.520554,0.388839
GBPJPY,2017,0.919,0.414,29,-0.4265,1.86432,0.404298,0.310475
GBPJPY,2018,0.757,0.333,21,-1.21093,3.03086,0.537827,0.355408
GBPJPY,2019,1.013,0.4,20,0.04557,1.74975,0.429884,0.282792
GBPJPY,2020,0.569,0.261,23,-2.08907,2.91136,0.460333,0.285357
GBPJPY,2021,2.544,0.586,29,4.80132,0.81629,0.465294,0.259057
GBPJPY,2022,0.375,0.25,16,-3.25061,4.18339,0.488107,0.433586
GBPJPY,2023,0.435,0.273,33,-4.82904,5.03904,0.413246,0.356177
GBPJPY,2024,1.739,0.45,20,3.65382,1.20504,0.955437,0.449555
GBPJPY,2025,0.83,0.286,28,-1.34614,4.54379,0.822188,0.396182
GBPJPY,2026,1.352,0.5,10,0.62496,1.34571,0.4805,0.355507
