pair,method,trail_mult,atr_trail_mult,trail_start_mult,keep_tp,slope_exit_bars,div_exit_th,tight_mult,PF,win_rate,n_trades,max_dd,avg_win,avg_loss,real_rr
EURJPY,baseline,,,,,,,,3.673,0.567,30,2.144361,1.892943,0.674025,2.808
EURJPY,slope_exit,,,,,2,,,3.673,0.567,30,2.144361,1.892943,0.674025,2.808
EURJPY,slope_exit,,,,,3,,,3.673,0.567,30,2.144361,1.892943,0.674025,2.808
EURJPY,slope_exit,,,,,5,,,3.673,0.567,30,2.144361,1.892943,0.674025,2.808
EURJPY,atr_trail,,2.0,2.0,True,,,,3.598,0.636,33,2.042313,1.361474,0.662114,2.056
EURJPY,div_tighten,,,,,,1.0,0.7,3.597,0.564,39,1.596368,1.299169,0.467418,2.779
EURJPY,atr_trail,,1.5,0.0,False,,,,3.553,0.541,37,1.498247,1.309147,0.433475,3.02
EURJPY,combined,,1.5,0.0,False,2,,,3.553,0.541,37,1.498247,1.309147,0.433475,3.02
EURJPY,combined,,1.5,0.0,False,3,,,3.553,0.541,37,1.498247,1.309147,0.433475,3.02
EURJPY,combined,,1.5,0.0,False,5,,,3.553,0.541,37,1.498247,1.309147,0.433475,3.02
EURJPY,atr_trail,,1.5,1.5,False,,,,3.522,0.647,34,1.633526,1.272066,0.662114,1.921
EURJPY,combined,,1.5,1.5,False,2,,,3.522,0.647,34,1.633526,1.272066,0.662114,1.921
EURJPY,combined,,1.5,1.5,False,3,,,3.522,0.647,34,1.633526,1.272066,0.662114,1.921
EURJPY,combined,,1.5,1.5,False,5,,,3.522,0.647,34,1.633526,1.272066,0.662114,1.921
EURJPY,atr_trail,,1.0,1.0,False,,,,3.504,0.722,36,1.469034,0.946531,0.702378,1.348
EURJPY,combined,,1.0,1.0,False,2,,,3.504,0.722,36,1.469034,0.946531,0.702378,1.348
EURJPY,combined,,1.0,1.0,False,3,,,3.504,0.722,36,1.469034,0.946531,0.702378,1.348
EURJPY,combined,,1.0,1.0,False,5,,,3.504,0.722,36,1.469034,0.946531,0.702378,1.348
EURJPY,div_tighten,,,,,,2.0,0.7,3.424,0.548,31,2.233302,1.813233,0.643082,2.82
EURJPY,atr_trail,,0.75,0.75,True,,,,3.411,0.763,38,1.465012,0.750439,0.708992,1.058
EURJPY,combined,,0.75,0.75,True,2,,,3.411,0.763,38,1.465012,0.750439,0.708992,1.058
EURJPY,combined,,0.75,0.75,True,3,,,3.411,0.763,38,1.465012,0.750439,0.708992,1.058
EURJPY,combined,,0.75,0.75,True,5,,,3.411,0.763,38,1.465012,0.750439,0.708992,1.058
EURJPY,atr_trail,,2.0,2.0,False,,,,3.407,0.625,32,2.042313,1.353327,0.662114,2.044
EURJPY,atr_trail,,0.75,0.75,False,,,,3.391,0.763,38,1.465012,0.746184,0.708992,1.052
EURJPY,combined,,0.75,0.75,False,2,,,3.391,0.763,38,1.465012,0.746184,0.708992,1.052
EURJPY,combined,,0.75,0.75,False,3,,,3.391,0.763,38,1.465012,0.746184,0.708992,1.052
EURJPY,combined,,0.75,0.75,False,5,,,3.391,0.763,38,1.465012,0.746184,0.708992,1.052
EURJPY,atr_trail,,1.5,0.0,True,,,,3.381,0.541,37,1.498247,1.245853,0.433475,2.874
EURJPY,combined,,1.5,0.0,True,2,,,3.381,0.541,37,1.498247,1.245853,0.433475,2.874
EURJPY,combined,,1.5,0.0,True,3,,,3.381,0.541,37,1.498247,1.245853,0.433475,2.874
EURJPY,combined,,1.5,0.0,True,5,,,3.381,0.541,37,1.498247,1.245853,0.433475,2.874
EURJPY,atr_trail,,1.5,1.5,True,,,,3.363,0.647,34,1.633526,1.214526,0.662114,1.834
EURJPY,combined,,1.5,1.5,True,2,,,3.363,0.647,34,1.633526,1.214526,0.662114,1.834
EURJPY,combined,,1.5,1.5,True,3,,,3.363,0.647,34,1.633526,1.214526,0.662114,1.834
EURJPY,combined,,1.5,1.5,True,5,,,3.363,0.647,34,1.633526,1.214526,0.662114,1.834
EURJPY,atr_trail,,1.0,1.0,True,,,,3.332,0.722,36,1.469034,0.900253,0.702378,1.282
EURJPY,div_tighten,,,,,,1.5,0.7,3.332,0.559,34,1.674339,1.568326,0.596291,2.63
EURJPY,combined,,1.0,1.0,True,2,,,3.332,0.722,36,1.469034,0.900253,0.702378,1.282
EURJPY,combined,,1.0,1.0,True,3,,,3.332,0.722,36,1.469034,0.900253,0.702378,1.282
EURJPY,combined,,1.0,1.0,True,5,,,3.332,0.722,36,1.469034,0.900253,0.702378,1.282
EURJPY,atr_trail,,0.5,0.5,True,,,,3.313,0.775,40,1.465012,0.678475,0.705325,0.962
EURJPY,atr_trail,,0.5,0.5,False,,,,3.29,0.775,40,1.465012,0.673623,0.705325,0.955
EURJPY,fixed_trail,2.0,,,True,,,,3.289,0.562,32,2.774924,1.576482,0.616193,2.558
EURJPY,div_tighten,,,,,,2.0,0.3,3.281,0.581,31,2.144361,1.615133,0.681533,2.37
EURJPY,div_tighten,,,,,,1.0,0.5,3.237,0.585,41,1.465012,1.06174,0.463131,2.293
EURJPY,div_tighten,,,,,,2.0,0.5,3.217,0.548,31,2.144361,1.68386,0.635547,2.649
EURJPY,div_tighten,,,,,,1.0,0.3,3.156,0.61,41,1.739303,0.92858,0.459697,2.02
EURJPY,div_tighten,,,,,,1.5,0.5,3.156,0.571,35,1.642337,1.369996,0.578715,2.367
EURJPY,fixed_trail,1.0,,,True,,,,3.15,0.514,37,1.465012,1.301413,0.436073,2.984
EURJPY,fixed_trail,0.75,,,True,,,,3.12,0.513,39,1.961559,1.14089,0.384944,2.964
EURJPY,fixed_trail,1.5,,,True,,,,3.109,0.545,33,2.620552,1.455793,0.561975,2.59
EURJPY,fixed_trail,0.75,,,False,,,,3.075,0.513,39,1.961559,1.124592,0.384944,2.921
EURJPY,atr_trail,,2.0,0.0,True,,,,3.073,0.543,35,1.789445,1.353554,0.52305,2.588
EURJPY,atr_trail,,1.0,0.0,False,,,,3.055,0.585,41,1.465012,0.886403,0.409672,2.164
EURJPY,combined,,1.0,0.0,False,2,,,3.055,0.585,41,1.465012,0.886403,0.409672,2.164
EURJPY,combined,,1.0,0.0,False,3,,,3.055,0.585,41,1.465012,0.886403,0.409672,2.164
EURJPY,combined,,1.0,0.0,False,5,,,3.055,0.585,41,1.465012,0.886403,0.409672,2.164
EURJPY,div_tighten,,,,,,0.5,0.7,3.054,0.5,40,1.596368,1.237138,0.405028,3.054
EURJPY,div_tighten,,,,,,1.5,0.3,3.033,0.571,35,1.739303,1.32974,0.584578,2.275
EURJPY,fixed_trail,1.0,,,False,,,,2.979,0.5,36,1.465012,1.299124,0.436073,2.979
EURJPY,atr_trail,,1.0,0.0,True,,,,2.918,0.585,41,1.465012,0.846902,0.409672,2.067
EURJPY,combined,,1.0,0.0,True,2,,,2.918,0.585,41,1.465012,0.846902,0.409672,2.067
EURJPY,combined,,1.0,0.0,True,3,,,2.918,0.585,41,1.465012,0.846902,0.409672,2.067
EURJPY,combined,,1.0,0.0,True,5,,,2.918,0.585,41,1.465012,0.846902,0.409672,2.067
EURJPY,atr_trail,,0.5,0.0,True,,,,2.888,0.605,43,1.661545,0.709981,0.375944,1.889
EURJPY,div_tighten,,,,,,0.5,0.5,2.856,0.571,42,1.465012,0.912385,0.425927,2.142
EURJPY,atr_trail,,0.5,0.0,False,,,,2.846,0.605,43,1.661545,0.699638,0.375944,1.861
EURJPY,atr_trail,,2.0,0.0,False,,,,2.805,0.529,34,1.789445,1.304079,0.52305,2.493
EURJPY,fixed_trail,2.0,,,False,,,,2.676,0.5,28,2.774924,1.649101,0.616193,2.676
EURJPY,fixed_trail,1.5,,,False,,,,2.591,0.516,31,2.620552,1.365233,0.561975,2.429
EURJPY,fixed_trail,0.5,,,True,,,,2.573,0.558,43,1.465012,0.810351,0.39781,2.037
EURJPY,div_tighten,,,,,,0.5,0.3,2.531,0.595,42,1.739303,0.717704,0.416971,1.721
EURJPY,fixed_trail,0.5,,,False,,,,2.481,0.558,43,1.465012,0.781442,0.39781,1.964
EURJPY,atr_trail,,0.75,0.0,True,,,,2.35,0.558,43,1.477114,0.747327,0.401759,1.86
EURJPY,combined,,0.75,0.0,True,2,,,2.35,0.558,43,1.477114,0.747327,0.401759,1.86
EURJPY,combined,,0.75,0.0,True,3,,,2.35,0.558,43,1.477114,0.747327,0.401759,1.86
EURJPY,combined,,0.75,0.0,True,5,,,2.35,0.558,43,1.477114,0.747327,0.401759,1.86
EURJPY,atr_trail,,0.75,0.0,False,,,,2.285,0.558,43,1.477114,0.726691,0.401759,1.809
EURJPY,combined,,0.75,0.0,False,2,,,2.285,0.558,43,1.477114,0.726691,0.401759,1.809
EURJPY,combined,,0.75,0.0,False,3,,,2.285,0.558,43,1.477114,0.726691,0.401759,1.809
EURJPY,combined,,0.75,0.0,False,5,,,2.285,0.558,43,1.477114,0.726691,0.401759,1.809
EURJPY,slope_exit,,,,,1,,,1.116,0.46,50,1.957993,0.273912,0.209,1.311
EURUSD,atr_trail,,0.5,0.0,False,,,,7.447,0.576,33,0.002955,0.005613,0.001023,5.487
EURUSD,fixed_trail,0.5,,,False,,,,7.333,0.545,33,0.002886,0.006451,0.001056,6.111
EURUSD,atr_trail,,0.75,0.0,False,,,,6.941,0.515,33,0.004672,0.008728,0.001336,6.532
EURUSD,combined,,0.75,0.0,False,3,,,6.941,0.515,33,0.004672,0.008728,0.001336,6.532
EURUSD,combined,,0.75,0.0,False,5,,,6.941,0.515,33,0.004672,0.008728,0.001336,6.532
EURUSD,fixed_trail,1.0,,,False,,,,6.343,0.5,32,0.005679,0.009852,0.001553,6.343
EURUSD,combined,,0.75,0.0,False,2,,,6.125,0.515,33,0.005722,0.008728,0.001514,5.765
EURUSD,fixed_trail,0.75,,,False,,,,6.036,0.515,33,0.004591,0.008468,0.001491,5.681
EURUSD,atr_trail,,1.0,0.0,False,,,,5.725,0.455,33,0.005788,0.010184,0.001482,6.87
EURUSD,combined,,1.0,0.0,False,3,,,5.725,0.455,33,0.005788,0.010184,0.001482,6.87
EURUSD,combined,,1.0,0.0,False,5,,,5.725,0.455,33,0.005788,0.010184,0.001482,6.87
EURUSD,div_tighten,,,,,,0.5,0.5,5.582,0.576,33,0.003502,0.004647,0.00113,4.113
EURUSD,fixed_trail,2.0,,,False,,,,5.315,0.481,27,0.006964,0.013121,0.002292,5.724
EURUSD,atr_trail,,1.5,1.5,False,,,,5.309,0.5,30,0.008021,0.013106,0.002469,5.309
EURUSD,combined,,1.5,1.5,False,3,,,5.309,0.5,30,0.008021,0.013106,0.002469,5.309
EURUSD,combined,,1.5,1.5,False,5,,,5.309,0.5,30,0.008021,0.013106,0.002469,5.309
EURUSD,combined,,1.0,0.0,False,2,,,5.266,0.455,33,0.006962,0.010184,0.001612,6.319
EURUSD,atr_trail,,0.5,0.0,True,,,,5.193,0.576,33,0.002955,0.003914,0.001023,3.826
EURUSD,combined,,1.5,1.5,False,2,,,5.166,0.5,30,0.009049,0.013106,0.002537,5.166
EURUSD,atr_trail,,2.0,0.0,False,,,,5.12,0.483,29,0.006964,0.012676,0.002311,5.486
EURUSD,atr_trail,,0.75,0.75,False,,,,5.09,0.594,32,0.006964,0.008363,0.002401,3.483
EURUSD,combined,,0.75,0.75,False,3,,,5.09,0.594,32,0.006964,0.008363,0.002401,3.483
EURUSD,combined,,0.75,0.75,False,5,,,5.09,0.594,32,0.006964,0.008363,0.002401,3.483
EURUSD,fixed_trail,0.5,,,True,,,,5.012,0.545,33,0.002886,0.004409,0.001056,4.177
EURUSD,combined,,0.75,0.75,False,2,,,4.928,0.594,32,0.007682,0.008363,0.00248,3.372
EURUSD,div_tighten,,,,,,0.5,0.3,4.897,0.6,35,0.005671,0.003878,0.001188,3.265
EURUSD,atr_trail,,2.0,2.0,False,,,,4.852,0.483,29,0.006964,0.012676,0.002438,5.199
EURUSD,atr_trail,,1.5,0.0,False,,,,4.769,0.438,32,0.007755,0.012353,0.002015,6.132
EURUSD,combined,,1.5,0.0,False,3,,,4.769,0.438,32,0.007755,0.012353,0.002015,6.132
