sym,entry_time,exit_time,session,direction,entry,exit,sl,tp,rh,rl,sh,sl_level,result,pnl,pnl_pips,rr,atr
GBPJPY,2016-02-26 15:00:00,2016-02-26 21:45:00,13,short,158.03400000000002,158.046,158.8143169299854,156.8995,158.02,155.779,161.559,154.717,timeout,-0.03199999999997204,-3.1999999999972037,1.4538964315707898,2.3021128665694794
GBPJPY,2016-03-08 13:45:00,2016-03-08 14:30:00,13,long,160.6,160.12128405673695,160.12128405673695,161.30200000000002,162.227,160.377,162.437,156.153,sl,-0.49871594326304036,-49.871594326304034,1.4664228544698756,2.018106288420294
GBPJPY,2016-03-16 13:30:00,2016-03-16 21:30:00,13,long,159.97,160.738,159.3343303010593,161.24,162.938,159.542,164.096,159.478,timeout,0.7480000000000007,74.80000000000007,1.9978929342021512,1.9977979929378658
GBPJPY,2016-04-03 22:30:00,2016-04-03 23:45:00,13,long,158.87,158.876,158.44462279739807,160.1775,161.646,158.709,162.569,158.447,timeout,-0.013999999999999773,-1.3999999999999773,3.0737425325154297,1.5958480173462233
GBPJPY,2016-04-10 21:15:00,2016-04-10 23:45:00,13,long,152.545,153.008,152.04604828999905,153.3075,154.228,152.387,159.583,151.651,timeout,0.44300000000002226,44.30000000000223,1.528204001943562,1.773011400006441
GBPJPY,2016-05-15 21:30:00,2016-05-15 23:45:00,13,long,155.94,155.932,155.61321909323522,156.781,157.63,155.932,157.991,153.635,timeout,-0.028000000000009777,-2.8000000000009777,2.57358977403586,1.7252060450986089
GBPJPY,2016-07-03 21:15:00,2016-07-03 23:45:00,13,long,136.01999999999998,136.121,135.34194884623204,136.6885,137.619,135.758,139.014,133.342,timeout,0.08100000000002751,8.100000000002751,0.9859138153296548,3.6670076917863113
GBPJPY,2016-07-31 21:30:00,2016-07-31 23:45:00,13,long,134.994,135.244,134.42489020496876,137.0795,139.28,134.879,139.917,128.788,timeout,0.23,23.0,3.6644950029115626,2.927398633541582
GBPJPY,2016-08-28 21:15:00,2016-08-28 23:45:00,13,short,133.71800000000002,133.771,134.1864521860126,133.1245,133.872,132.377,134.018,129.211,timeout,-0.07299999999996885,-7.299999999996885,1.2669382654649,1.5230145734171963
GBPJPY,2016-09-18 21:45:00,2016-09-18 23:45:00,13,long,132.896,133.136,132.57801142887857,134.036,135.164,132.908,136.623,132.377,timeout,0.2200000000000091,22.00000000000091,3.585034506050615,1.4265904741428548
GBPJPY,2017-03-12 21:30:00,2017-03-12 23:45:00,13,long,139.584,139.659,139.14968357319455,140.026,140.535,139.517,140.75,138.44,timeout,0.05499999999998863,5.499999999998862,1.017691187162941,1.1087761787030495
GBPJPY,2017-05-14 21:15:00,2017-05-14 23:45:00,13,long,145.89999999999998,145.927,145.5832639214615,146.29899999999998,146.797,145.801,148.107,145.657,timeout,0.007000000000015234,0.7000000000015233,1.2597238743408288,1.1315738569231082
GBPJPY,2017-06-04 21:15:00,2017-06-04 23:45:00,13,long,142.04899999999998,142.142,141.7024457431199,142.98649999999998,143.95,142.023,145.445,141.491,timeout,0.07300000000001773,7.300000000001773,2.7052041098558455,1.1970283792006722
GBPJPY,2017-07-05 13:15:00,2017-07-05 13:30:00,13,short,146.67700000000002,146.397,146.93946196977151,146.397,146.808,145.986,146.929,145.138,tp,0.26000000000002954,26.000000000002952,1.0668212245903865,1.2230797984768402
GBPJPY,2017-09-03 21:45:00,2017-09-03 23:45:00,13,long,142.12,142.348,141.80591689090053,142.546,142.99,142.102,143.191,140.003,timeout,0.20800000000000865,20.800000000000864,1.3563289067705722,1.0472207273297736
GBPJPY,2017-09-07 13:45:00,2017-09-07 15:00:00,13,short,142.395,142.024,142.7850283847613,142.024,142.68,141.368,142.99,140.003,tp,0.3510000000000093,35.10000000000093,0.9512128206440233,1.046855898408623
GBPJPY,2017-10-13 13:30:00,2017-10-13 20:45:00,13,short,148.833,148.547,149.30656409832594,148.226,149.155,147.297,151.601,146.944,timeout,0.26600000000000135,26.600000000000133,1.2817694629845502,1.2304273221728317
GBPJPY,2018-02-04 22:15:00,2018-02-04 23:00:00,13,long,155.524,155.1447544978282,155.1447544978282,156.01,156.607,155.413,157.39003499999998,151.97,sl,-0.39924550217181265,-39.92455021718126,1.2814917967829016,1.2549700144786406
GBPJPY,2018-02-16 14:30:00,2018-02-16 21:45:00,13,long,149.166,149.111,148.7384902719643,149.56,150.184,148.936,150.826,148.918,timeout,-0.07500000000000683,-7.500000000000682,0.9216164549292205,1.5833981869046405
GBPJPY,2018-02-25 22:15:00,2018-02-25 23:45:00,13,short,149.535,149.565,150.0757621126119,149.077,149.513,148.641,150.931,147.961,timeout,-0.05000000000000114,-5.000000000000114,0.8469528269793928,1.3184140840793515
