pair,strat,full_pf,full_n,full_net,full_wr,full_sharpe,full_maxdd_R,is_pf,is_n,oos_pf,oos_n,oos_net,yr_pos_rate,n_years,PASS
USDJPY,DON_dc20,0.871,135,-1497.4,35.6,-0.48,16.8,0.669,82,1.167,53,788.1,42.0,12,
USDJPY,DON200_dc20,0.724,111,-2868.2,31.5,-1.05,20.7,0.655,69,0.818,42,-799.8,42.0,12,
USDJPY,DON_dc40,0.859,97,-1269.8,35.1,-0.56,12.9,0.723,55,0.993,42,-30.8,42.0,12,
USDJPY,DON200_dc40,0.801,84,-1518.8,31.0,-0.68,15.3,0.686,50,0.938,34,-212.9,50.0,12,
USDJPY,DON_dc55,0.918,82,-607.5,36.6,-0.22,11.4,0.814,45,1.014,37,55.7,50.0,12,
USDJPY,DON200_dc55,0.922,73,-493.7,32.9,-0.24,12.5,0.8,42,1.059,31,174.3,50.0,12,
USDJPY,EMAX_20_50,0.8,60,-947.8,33.3,-0.56,9.6,0.845,43,0.739,17,-526.9,33.0,12,
USDJPY,EMAX_50_100,1.065,29,159.9,31.0,0.29,4.4,1.411,21,0.705,8,-357.7,45.0,11,
USDJPY,EMAX_50_200,0.747,23,-468.9,34.8,-0.8,5.3,0.533,17,1.236,6,132.6,50.0,10,
USDJPY,TSMOM_100,0.879,117,-795.5,32.5,-0.38,11.9,1.203,80,0.499,37,-1519.9,42.0,12,
USDJPY,TSMOM_200,0.411,102,-4325.4,31.4,-2.24,20.2,0.783,68,0.161,34,-3688.2,22.0,9,
USDJPY,TSMOM_400,0.375,78,-3195.2,26.9,-3.56,21.1,0.338,52,0.422,26,-1301.4,10.0,10,
GBPJPY,DON_dc20,0.941,135,-1070.0,37.8,0.01,14.2,1.301,76,0.635,59,-3568.5,33.0,12,
GBPJPY,DON200_dc20,1.114,106,1530.1,39.6,0.66,6.0,1.073,65,1.177,41,939.9,50.0,12,
GBPJPY,DON_dc40,0.774,88,-2937.9,31.8,-0.58,10.3,0.874,52,0.629,36,-1963.5,33.0,12,
GBPJPY,DON200_dc40,0.776,80,-2609.1,32.5,-0.44,9.0,0.815,48,0.715,32,-1311.8,33.0,12,
GBPJPY,DON_dc55,0.861,71,-1426.9,35.2,-0.17,10.7,1.163,38,0.575,33,-2244.9,50.0,12,
GBPJPY,DON200_dc55,0.804,69,-1978.4,34.8,-0.3,8.8,1.003,37,0.604,32,-1993.3,50.0,12,
GBPJPY,EMAX_20_50,1.072,71,669.3,33.8,0.47,6.4,1.152,45,0.977,26,-97.9,42.0,12,
GBPJPY,EMAX_50_100,0.928,35,-398.8,31.4,-0.09,6.9,1.057,24,0.783,11,-566.3,45.0,11,
GBPJPY,EMAX_50_200,1.78,17,1582.6,35.3,0.94,2.5,1.755,11,1.808,6,784.5,38.0,8,
GBPJPY,TSMOM_100,0.79,153,-2755.7,30.7,-0.64,10.2,0.898,94,0.645,59,-1982.9,33.0,12,
GBPJPY,TSMOM_200,0.834,122,-1725.0,34.4,-0.62,10.4,1.014,64,0.69,58,-1788.5,40.0,10,
GBPJPY,TSMOM_400,0.731,48,-1095.7,27.1,-1.41,10.0,0.699,32,0.796,16,-273.8,43.0,7,
NZDJPY,DON_dc20,0.918,126,-791.6,37.3,-0.11,14.7,1.153,75,0.626,51,-1608.8,50.0,12,
NZDJPY,DON200_dc20,0.909,100,-641.5,39.0,-0.14,12.8,1.148,60,0.602,40,-1223.8,33.0,12,
NZDJPY,DON_dc40,0.885,86,-777.2,38.4,-0.15,10.7,1.065,49,0.677,37,-1013.2,25.0,12,
NZDJPY,DON200_dc40,0.814,80,-1135.5,37.5,-0.53,10.2,0.885,48,0.708,32,-720.2,33.0,12,
NZDJPY,DON_dc55,0.786,75,-1378.0,34.7,-0.55,15.9,1.16,41,0.471,34,-1849.3,42.0,12,
NZDJPY,DON200_dc55,0.723,71,-1620.3,33.8,-0.87,14.2,1.002,40,0.455,31,-1626.6,33.0,12,
NZDJPY,EMAX_20_50,1.112,64,542.0,34.4,0.44,7.3,1.481,37,0.732,27,-641.6,50.0,12,
NZDJPY,EMAX_50_100,0.868,32,-276.1,37.5,-0.46,8.3,1.216,21,0.364,11,-543.0,27.0,11,
NZDJPY,EMAX_50_200,1.476,28,939.5,35.7,0.62,6.9,2.636,16,0.731,12,-323.0,60.0,10,
NZDJPY,TSMOM_100,0.399,206,-6791.2,26.7,-4.31,40.1,0.36,130,0.49,76,-1745.2,8.0,12,
NZDJPY,TSMOM_200,0.804,132,-1231.4,31.8,-0.64,13.7,0.792,65,0.817,67,-555.2,50.0,10,
