pair,strat,full_pf,full_n,full_net,full_wr,full_sharpe,full_maxdd_R,is_pf,is_n,oos_pf,oos_n,oos_net,yr_pos_rate,n_years,PASS
USDJPY,DON_dc20,0.856,2499,-7265.9,34.7,-2.62,172.7,0.84,1463,0.872,1036,-3381.8,17.0,12,
USDJPY,DON200_dc20,0.89,1883,-4149.0,35.4,-1.89,111.2,0.878,1098,0.901,785,-1942.6,25.0,12,
USDJPY,DON_dc40,0.837,1748,-5899.8,34.7,-2.23,140.3,0.916,998,0.772,750,-4523.6,25.0,12,
USDJPY,DON200_dc40,0.853,1521,-4609.3,35.3,-1.86,107.4,0.895,874,0.818,647,-3084.1,25.0,12,
USDJPY,DON_dc55,0.832,1498,-5362.0,34.6,-2.06,121.8,0.953,849,0.74,649,-4710.6,33.0,12,
USDJPY,DON200_dc55,0.848,1375,-4381.9,35.3,-1.85,99.6,0.917,786,0.792,589,-3308.1,33.0,12,
USDJPY,EMAX_20_50,0.912,1255,-2073.1,35.1,-1.2,82.5,0.908,757,0.917,498,-1001.1,33.0,12,
USDJPY,EMAX_50_100,0.826,601,-2009.5,34.3,-2.81,95.2,1.048,365,0.637,236,-2261.9,33.0,12,
USDJPY,EMAX_50_200,0.877,409,-1018.7,34.7,-1.24,43.0,1.003,251,0.756,158,-1030.0,33.0,12,
USDJPY,TSMOM_100,0.743,2856,-9249.0,29.4,-6.83,323.7,0.744,1715,0.742,1141,-4797.1,8.0,12,
USDJPY,TSMOM_200,0.772,1987,-5625.7,29.9,-5.72,244.7,0.659,1293,0.905,694,-1076.3,25.0,12,
USDJPY,TSMOM_400,0.743,1408,-4387.2,30.0,-4.5,158.0,0.708,940,0.791,468,-1537.6,17.0,12,
GBPJPY,DON_dc20,0.873,2486,-10288.3,34.1,-2.22,171.6,0.908,1477,0.827,1009,-6091.0,25.0,12,
GBPJPY,DON200_dc20,0.939,1835,-3621.8,35.1,-0.66,84.8,1.006,1075,0.857,760,-3825.0,33.0,12,
GBPJPY,DON_dc40,0.945,1720,-3037.9,34.5,-0.9,90.9,1.011,1005,0.864,715,-3371.8,58.0,12,
GBPJPY,DON200_dc40,0.987,1464,-586.9,35.1,-0.07,65.2,1.06,858,0.898,606,-2126.7,67.0,12,
GBPJPY,DON_dc55,0.975,1429,-1148.2,34.9,-0.31,63.8,1.041,839,0.894,590,-2173.7,50.0,12,
GBPJPY,DON200_dc55,0.984,1304,-692.0,35.0,-0.07,62.7,1.051,769,0.899,535,-1891.6,50.0,12,
GBPJPY,EMAX_20_50,0.794,1238,-7787.0,33.6,-3.06,135.2,0.864,716,0.712,522,-5002.6,17.0,12,
GBPJPY,EMAX_50_100,0.927,564,-1236.4,34.0,-0.43,40.1,1.085,326,0.758,238,-1981.5,50.0,12,
GBPJPY,EMAX_50_200,0.945,418,-712.2,34.4,-0.65,34.8,1.196,246,0.668,172,-2046.2,33.0,12,
GBPJPY,TSMOM_100,0.789,2928,-11542.5,31.4,-4.95,294.4,0.909,1640,0.662,1288,-8995.2,8.0,12,
GBPJPY,TSMOM_200,0.805,2042,-7353.9,31.3,-4.32,192.1,0.805,1207,0.805,835,-3201.3,17.0,12,
GBPJPY,TSMOM_400,0.874,1290,-3259.9,31.8,-1.77,66.3,0.873,806,0.875,484,-1334.3,50.0,12,
NZDJPY,DON_dc20,0.773,2378,-10392.1,32.4,-4.68,310.4,0.801,1410,0.736,968,-5188.2,8.0,12,
NZDJPY,DON200_dc20,0.765,1829,-8361.7,31.9,-4.12,241.6,0.853,1072,0.655,757,-5431.0,0.0,12,
NZDJPY,DON_dc40,0.789,1677,-6979.1,31.8,-3.35,202.2,0.86,992,0.696,685,-4382.7,8.0,12,
NZDJPY,DON200_dc40,0.774,1458,-6487.0,31.6,-3.35,183.7,0.891,854,0.628,604,-4745.6,8.0,12,
NZDJPY,DON_dc55,0.739,1461,-7597.1,30.4,-3.97,217.0,0.815,862,0.639,599,-4522.5,0.0,12,
NZDJPY,DON200_dc55,0.746,1338,-6754.0,30.2,-3.76,197.7,0.844,785,0.62,553,-4411.4,8.0,12,
NZDJPY,EMAX_20_50,0.793,1306,-4788.0,32.7,-2.53,127.5,0.807,767,0.776,539,-2280.7,17.0,12,
NZDJPY,EMAX_50_100,0.756,602,-2590.7,32.6,-2.49,91.4,0.834,347,0.669,255,-1660.1,33.0,12,
NZDJPY,EMAX_50_200,0.66,432,-2658.3,31.9,-3.05,74.9,0.675,251,0.638,181,-1192.2,25.0,12,
NZDJPY,TSMOM_100,0.646,3042,-12099.4,29.0,-8.33,385.7,0.645,1771,0.647,1271,-5217.5,0.0,12,
NZDJPY,TSMOM_200,0.601,2234,-10583.8,27.5,-7.85,317.2,0.631,1250,0.569,984,-5461.2,0.0,12,
NZDJPY,TSMOM_400,0.609,1612,-7736.7,29.8,-6.41,225.9,0.65,883,0.568,729,-4268.0,0.0,12,
CHFJPY,DON_dc20,0.717,2363,-15356.0,32.1,-5.58,344.2,0.629,1403,0.806,960,-5217.3,8.0,12,
