pair,pinbar_thresh,bb_sigma,sl_atr,tp_atr,train_pf,train_wr,train_trades,train_dd,test_pf,test_wr,test_trades,test_dd,all_pf,all_wr,all_trades,all_dd
USDJPY,0.4000,1.5000,1.5000,2.0000,0.8996,0.3901,687,6.9477,0.8433,0.3965,459,4.8553,0.8802,0.3927,1146,9.2717
USDJPY,0.4000,1.5000,1.0000,2.5000,0.7569,0.2285,687,9.8070,0.7641,0.2375,459,5.6395,0.7594,0.2321,1146,14.8278
USDJPY,0.4000,1.5000,1.5000,3.0000,0.7721,0.2838,687,12.2585,0.9202,0.3290,459,3.6868,0.8209,0.3019,1146,15.2131
USDJPY,0.4000,1.8000,1.5000,2.0000,0.9690,0.4040,349,3.2618,0.9307,0.4163,233,1.6137,0.9557,0.4089,582,3.2618
USDJPY,0.4000,1.8000,1.0000,2.5000,0.7555,0.2235,349,5.2636,0.8920,0.2661,233,1.8156,0.8006,0.2405,582,6.4853
USDJPY,0.4000,1.8000,1.5000,3.0000,0.7429,0.2751,349,6.9334,1.0640,0.3605,233,1.1527,0.8453,0.3093,582,7.8091
USDJPY,0.4000,2.0000,1.5000,2.0000,1.0726,0.4183,208,1.9155,0.9226,0.4000,140,1.2281,1.0174,0.4109,348,1.9155
USDJPY,0.4000,2.0000,1.0000,2.5000,0.8218,0.2356,208,2.7793,0.8998,0.2500,140,0.9031,0.8485,0.2414,348,2.9785
USDJPY,0.4000,2.0000,1.5000,3.0000,0.7659,0.2788,208,3.9881,1.0943,0.3571,140,1.1236,0.8739,0.3103,348,4.8197
USDJPY,0.5000,1.5000,1.5000,2.0000,0.8756,0.3872,390,4.6774,0.8693,0.4038,260,2.4387,0.8735,0.3938,650,5.4925
USDJPY,0.5000,1.5000,1.0000,2.5000,0.7882,0.2333,390,5.7484,0.8982,0.2654,260,2.2341,0.8239,0.2462,650,6.2043
USDJPY,0.5000,1.5000,1.5000,3.0000,0.7848,0.2769,390,6.5436,0.9615,0.3423,260,2.0052,0.8408,0.3031,650,7.7784
USDJPY,0.5000,1.8000,1.5000,2.0000,0.9547,0.4105,190,2.6143,0.8932,0.4016,127,1.2978,0.9334,0.4069,317,2.6143
USDJPY,0.5000,1.8000,1.0000,2.5000,0.8144,0.2368,190,3.0627,0.9795,0.2835,127,0.9385,0.8684,0.2555,317,3.0627
USDJPY,0.5000,1.8000,1.5000,3.0000,0.7846,0.2789,190,3.3648,0.9503,0.3386,127,1.2056,0.8381,0.3028,317,4.0369
USDJPY,0.5000,2.0000,1.5000,2.0000,0.9756,0.4000,105,1.7249,0.9230,0.4000,70,0.6545,0.9571,0.4000,175,1.7249
USDJPY,0.5000,2.0000,1.0000,2.5000,0.8872,0.2476,105,1.4493,1.0743,0.2857,70,0.5316,0.9499,0.2629,175,1.4493
USDJPY,0.5000,2.0000,1.5000,3.0000,0.7458,0.2571,105,2.5398,0.9802,0.3429,70,0.7828,0.8224,0.2914,175,3.1075
USDJPY,0.6000,1.5000,1.5000,2.0000,0.8776,0.3793,203,2.5883,0.6620,0.3382,136,2.4311,0.8008,0.3628,339,4.2890
USDJPY,0.6000,1.5000,1.0000,2.5000,0.7994,0.2414,203,3.1591,0.6633,0.2206,136,2.2704,0.7532,0.2330,339,4.5633
USDJPY,0.6000,1.5000,1.5000,3.0000,0.8821,0.2906,203,3.2563,0.7056,0.2794,136,2.4035,0.8214,0.2861,339,5.1666
USDJPY,0.6000,1.8000,1.5000,2.0000,1.0328,0.4157,89,1.1285,0.6340,0.3167,60,1.4478,0.8807,0.3758,149,1.4478
USDJPY,0.6000,1.8000,1.0000,2.5000,0.9672,0.2584,89,1.2274,0.6175,0.2167,60,1.4265,0.8426,0.2416,149,1.4265
USDJPY,0.6000,1.8000,1.5000,3.0000,0.9849,0.3034,89,1.4170,0.6058,0.2500,60,1.6037,0.8467,0.2819,149,2.9756
USDJPY,0.6000,2.0000,1.5000,2.0000,0.9911,0.4043,47,1.0137,0.9436,0.3750,32,0.4136,0.9742,0.3924,79,1.0137
USDJPY,0.6000,2.0000,1.0000,2.5000,0.8323,0.2340,47,1.1492,1.1130,0.2812,32,0.4345,0.9248,0.2532,79,1.1492
USDJPY,0.6000,2.0000,1.5000,3.0000,1.0302,0.2979,47,1.1804,0.7161,0.2500,32,0.8365,0.9106,0.2785,79,1.3597
USDJPY,0.7000,1.5000,1.5000,2.0000,0.8449,0.3778,90,2.0024,0.7021,0.3443,61,1.1690,0.7966,0.3642,151,2.0116
USDJPY,0.7000,1.5000,1.0000,2.5000,0.5916,0.2111,90,2.9107,0.7057,0.2295,61,1.2937,0.6271,0.2185,151,3.1417
USDJPY,0.7000,1.5000,1.5000,3.0000,0.8044,0.2889,90,1.9262,0.7382,0.2951,61,1.0939,0.7825,0.2914,151,2.6027
USDJPY,0.7000,1.8000,1.5000,2.0000,0.8324,0.3721,43,1.4836,0.7940,0.3667,30,0.5106,0.8198,0.3699,73,1.4836
USDJPY,0.7000,1.8000,1.0000,2.5000,0.6837,0.2093,43,1.5497,0.7552,0.2667,30,0.5597,0.7057,0.2329,73,1.5497
USDJPY,0.7000,1.8000,1.5000,3.0000,0.7324,0.2558,43,1.2791,0.8573,0.3333,30,0.5038,0.7714,0.2877,73,1.3660
USDJPY,0.7000,2.0000,1.5000,2.0000,0.6573,0.2800,25,0.9352,1.0058,0.4118,17,0.4498,0.7674,0.3333,42,0.9352
USDJPY,0.7000,2.0000,1.0000,2.5000,0.7072,0.2000,25,0.9168,0.9855,0.2941,17,0.3715,0.7972,0.2381,42,0.9168
USDJPY,0.7000,2.0000,1.5000,3.0000,0.3984,0.1200,25,1.2254,1.0483,0.3529,17,0.4191,0.5961,0.2143,42,1.2978
EURJPY,0.4000,1.5000,1.5000,2.0000,0.7515,0.3544,697,13.4318,0.7104,0.3455,466,8.2405,0.7368,0.3508,1163,19.9188
EURJPY,0.4000,1.5000,1.0000,2.5000,0.6651,0.2109,697,14.4291,0.6165,0.2060,466,8.8361,0.6478,0.2089,1163,21.8996
EURJPY,0.4000,1.5000,1.5000,3.0000,0.7828,0.2884,697,14.1204,0.7287,0.2940,466,8.2436,0.7639,0.2906,1163,19.3736
EURJPY,0.4000,1.8000,1.5000,2.0000,0.7471,0.3568,370,6.9945,0.7714,0.3548,248,4.7065,0.7555,0.3560,618,10.1419
EURJPY,0.4000,1.8000,1.0000,2.5000,0.6248,0.2108,370,8.7730,0.6486,0.2056,248,4.4857,0.6330,0.2087,618,12.5807
EURJPY,0.4000,1.8000,1.5000,3.0000,0.7435,0.2811,370,7.9518,0.8782,0.3266,248,4.0636,0.7873,0.2994,618,9.6801
EURJPY,0.4000,2.0000,1.5000,2.0000,0.7752,0.3687,217,4.4035,0.8262,0.3699,146,3.4071,0.7921,0.3691,363,4.9890
EURJPY,0.4000,2.0000,1.0000,2.5000,0.7006,0.2304,217,4.9421,0.7887,0.2329,146,2.4191,0.7297,0.2314,363,5.3855
EURJPY,0.4000,2.0000,1.5000,3.0000,0.8582,0.3088,217,4.5915,0.8970,0.3356,146,3.0967,0.8706,0.3196,363,4.5915
EURJPY,0.5000,1.5000,1.5000,2.0000,0.7198,0.3423,409,8.4080,0.7340,0.3700,273,4.7587,0.7249,0.3534,682,12.2477
EURJPY,0.5000,1.5000,1.0000,2.5000,0.7132,0.2225,409,8.3222,0.5892,0.2015,273,5.9005,0.6676,0.2141,682,12.1010
EURJPY,0.5000,1.5000,1.5000,3.0000,0.8091,0.2934,409,8.3344,0.7538,0.3150,273,4.9113,0.7895,0.3021,682,10.5916
EURJPY,0.5000,1.8000,1.5000,2.0000,0.7142,0.3465,202,5.0846,0.8219,0.3971,136,2.7111,0.7509,0.3669,338,6.5745
EURJPY,0.5000,1.8000,1.0000,2.5000,0.6491,0.2129,202,4.6589,0.6554,0.2132,136,3.1783,0.6513,0.2130,338,6.9592
EURJPY,0.5000,1.8000,1.5000,3.0000,0.7510,0.2871,202,5.4631,0.9555,0.3529,136,2.2706,0.8179,0.3136,338,5.7482
EURJPY,0.5000,2.0000,1.5000,2.0000,0.7707,0.3652,115,2.8069,0.7596,0.3896,77,1.7224,0.7669,0.3750,192,3.2616
EURJPY,0.5000,2.0000,1.0000,2.5000,0.7588,0.2435,115,3.2134,0.7396,0.2338,77,1.3756,0.7521,0.2396,192,3.2134
