pinbar_thresh,bb_sigma,sl_atr,tp_atr,avg_test_pf,avg_test_wr,avg_test_trades,avg_test_dd,pairs_pf_over1
0.7000,2.0000,1.5000,3.0000,0.7813,0.2542,20.0000,0.2159,2
0.6000,1.8000,1.5000,3.0000,0.7472,0.2700,59.1429,0.7458,1
0.4000,1.5000,1.5000,3.0000,0.7403,0.2589,312.1429,4.2213,1
0.5000,1.5000,1.5000,3.0000,0.7329,0.2621,196.8571,2.7495,0
0.6000,1.5000,1.5000,3.0000,0.7222,0.2614,120.5714,1.9573,0
0.7000,1.8000,1.5000,2.0000,0.7167,0.3098,34.0000,0.3089,1
0.6000,1.8000,1.5000,2.0000,0.7149,0.3243,59.1429,0.6926,0
0.7000,1.8000,1.5000,3.0000,0.7128,0.2525,34.0000,0.4244,2
0.7000,2.0000,1.5000,2.0000,0.7116,0.2952,20.0000,0.2144,2
0.5000,1.5000,1.5000,2.0000,0.7115,0.3285,196.8571,2.4130,0
0.4000,1.5000,1.5000,2.0000,0.7102,0.3242,312.1429,3.7969,0
0.6000,2.0000,1.0000,2.5000,0.6897,0.1924,34.7143,0.3292,2
0.7000,1.5000,1.5000,2.0000,0.6888,0.3149,69.1429,0.5572,0
0.6000,1.5000,1.5000,2.0000,0.6825,0.3210,120.5714,1.6716,0
0.4000,1.8000,1.5000,3.0000,0.6820,0.2530,162.5714,2.0632,1
0.5000,1.8000,1.5000,3.0000,0.6763,0.2566,99.2857,1.3484,0
0.5000,1.8000,1.5000,2.0000,0.6754,0.3208,99.2857,1.1581,0
0.7000,2.0000,1.0000,2.5000,0.6740,0.1816,20.0000,0.1840,1
0.4000,1.8000,1.5000,2.0000,0.6672,0.3156,162.5714,1.9905,0
0.7000,1.5000,1.5000,3.0000,0.6557,0.2434,69.1429,0.9769,0
0.6000,2.0000,1.5000,2.0000,0.6529,0.2939,34.7143,0.3442,1
0.6000,2.0000,1.5000,3.0000,0.6455,0.2366,34.7143,0.3794,1
0.4000,2.0000,1.5000,3.0000,0.6327,0.2337,97.2857,1.4585,1
0.6000,1.8000,1.0000,2.5000,0.6233,0.1927,59.1429,0.6737,0
0.6000,1.5000,1.0000,2.5000,0.6120,0.1809,120.5714,1.5696,0
0.4000,2.0000,1.5000,2.0000,0.6041,0.2784,97.2857,1.4507,0
0.4000,1.5000,1.0000,2.5000,0.5941,0.1756,312.1429,4.4189,0
0.5000,2.0000,1.5000,3.0000,0.5807,0.2286,58.7143,0.8822,0
0.5000,2.0000,1.5000,2.0000,0.5804,0.2834,58.7143,0.7711,0
0.5000,1.5000,1.0000,2.5000,0.5794,0.1723,196.8571,2.7174,0
0.5000,1.8000,1.0000,2.5000,0.5534,0.1771,99.2857,1.2126,0
0.4000,1.8000,1.0000,2.5000,0.5449,0.1727,162.5714,2.0176,0
0.7000,1.5000,1.0000,2.5000,0.5326,0.1589,69.1429,0.6860,0
0.5000,2.0000,1.0000,2.5000,0.5193,0.1623,58.7143,0.7345,1
0.7000,1.8000,1.0000,2.5000,0.5157,0.1627,34.0000,0.3179,0
0.4000,2.0000,1.0000,2.5000,0.5112,0.1565,97.2857,1.2927,0
