trades,winrate,pf,total_pips,max_dd_pips,f1,f3,f4,f5,f6b,f6s,score
1452,0.4331955922865014,1.1464155528552677,1205,-415,,,None,,45.0,55.0,18.92384606089901
1447,0.4333102971665515,1.1469512195120553,1205,-415,,,None,50.0,45.0,55.0,18.905067083697602
1441,0.43303261623872313,1.1456548347611817,1190,-415,,,None,40.0,45.0,55.0,18.832431285406727
1462,0.43091655266757867,1.1358173076921712,1130,-435,,,None,,,,18.714375763103114
1457,0.4310226492793411,1.1363088057899715,1130,-435,,,None,50.0,,,18.695033172109646
1451,0.43073742246726393,1.1349878934623323,1115,-435,,,None,40.0,,,18.62248101529237
1351,0.43301258327165065,1.1455613577022004,1115,-345,,,None,,40.0,60.0,18.232513637455735
1405,0.4298932384341637,1.131086142321956,1050,-415,,,None,30.0,45.0,55.0,18.226129768697138
1346,0.43313521545319467,1.1461336828307802,1115,-345,,,None,50.0,40.0,60.0,18.212992161232446
1340,0.43283582089552236,1.1447368421051125,1100,-345,,,None,40.0,40.0,60.0,18.137659923138006
1415,0.4275618374558304,1.120370370370232,975,-445,,,None,30.0,,,18.019335421759635
1306,0.43032159264931086,1.13306451612888,990,-350,,,None,30.0,40.0,60.0,17.620546186813264
1205,0.420746887966805,1.0895415472777807,625,-415,,2.1,None,,45.0,55.0,15.913226035229414
1200,0.42083333333333334,1.0899280575538,625,-415,,2.1,None,50.0,45.0,55.0,15.889074000006811
1196,0.4205685618729097,1.0887445887444316,615,-415,,2.1,None,40.0,45.0,55.0,15.835376907123955
1210,0.4190082644628099,1.08179231863427,575,-445,,2.1,None,,,,15.767366680496044
1205,0.4190871369294606,1.0821428571427025,575,-445,,2.1,None,50.0,,,15.74281717162764
1201,0.41881765195670273,1.0809455587391001,565,-445,,2.1,None,40.0,,,15.689182066477985
1127,0.42324755989352264,1.1007692307690613,655,-385,0.005,,None,50.0,45.0,55.0,15.640574543731274
1127,0.42324755989352264,1.1007692307690613,655,-385,0.005,,None,40.0,45.0,55.0,15.640574543731274
1127,0.42324755989352264,1.1007692307690613,655,-385,0.005,,None,,45.0,55.0,15.640574543731274
1125,0.4231111111111111,1.1001540832047612,650,-385,0.005,,None,30.0,45.0,55.0,15.612922590752365
1133,0.42188879082082964,1.0946564885494512,620,-365,,2.1,None,,40.0,60.0,15.54500254053435
1128,0.4219858156028369,1.0950920245397093,620,-365,,2.1,None,50.0,40.0,60.0,15.52040389556455
1124,0.42170818505338076,1.0938461538459854,610,-365,,2.1,None,40.0,40.0,60.0,15.465053621031153
1137,0.4204045734388742,1.0880121396052977,580,-405,0.005,,None,,,,15.423445576469414
1137,0.4204045734388742,1.0880121396052977,580,-405,0.005,,None,50.0,,,15.423445576469414
1137,0.4204045734388742,1.0880121396052977,580,-405,0.005,,None,40.0,,,15.423445576469414
1135,0.42026431718061674,1.0873860182369168,575,-405,0.005,,None,30.0,,,15.395868490702894
1102,0.4219600725952813,1.0949764521191372,605,-365,,,None,,35.0,65.0,15.337936493318232
1097,0.4220601640838651,1.0954258675077135,605,-365,,,None,50.0,35.0,65.0,15.313013641937635
1165,0.4171673819742489,1.0736377025035237,500,-430,,2.1,None,30.0,45.0,55.0,15.287309585239553
1093,0.4217749313815188,1.09414556962008,595,-365,,,None,40.0,35.0,65.0,15.256887735365632
1170,0.4153846153846154,1.0657894736840547,450,-460,,2.1,None,30.0,,,15.143099117559418
1016,0.42618110236220474,1.1140651801027248,665,-370,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,45.0,55.0,15.133927287675133
1016,0.42618110236220474,1.1140651801027248,665,-370,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,45.0,55.0,15.133927287675133
